user_id,timestamp,ip_address
alice,2025-01-15T08:00:00,203.0.113.1
alice,2025-01-15T08:45:00,203.0.113.2
alice,2025-01-15T20:00:00,203.0.113.3
bob,2025-01-15T09:00:00,203.0.113.4
bob,2025-01-15T09:30:00,203.0.113.5
bob,2025-01-15T15:00:00,203.0.113.4
charlie,2025-01-15T10:00:00,203.0.113.6
charlie,2025-01-15T10:15:00,203.0.113.7
charlie,2025-01-15T18:00:00,203.0.113.6
diana,2025-01-15T07:00:00,203.0.113.8
diana,2025-01-15T12:00:00,203.0.113.9
diana,2025-01-15T13:00:00,203.0.113.10
eve,2025-01-15T06:00:00,203.0.113.11
eve,2025-01-15T06:30:00,203.0.113.12
eve,2025-01-15T14:00:00,203.0.113.11
frank,2025-01-15T11:00:00,203.0.113.13
frank,2025-01-15T11:10:00,203.0.113.14
frank,2025-01-15T16:00:00,203.0.113.13
grace,2025-01-15T08:30:00,203.0.113.15
grace,2025-01-15T09:00:00,203.0.113.1
grace,2025-01-15T17:00:00,203.0.113.15
henry,2025-01-15T10:00:00,203.0.113.16
henry,2025-01-15T12:00:00,203.0.113.17
henry,2025-01-15T19:00:00,203.0.113.16
iris,2025-01-15T07:30:00,203.0.113.18
iris,2025-01-15T08:00:00,203.0.113.19
iris,2025-01-15T21:00:00,203.0.113.18
jack,2025-01-15T09:00:00,203.0.113.20
jack,2025-01-15T09:45:00,203.0.113.2
jack,2025-01-15T22:00:00,203.0.113.20
